"Edad","Fuerza","Velocidad","Lesiones","Vision","Resistencia","Agilidad","CapacidadDecision","prediction(DeportePrimario)"
18.5,5,1,1,0,5,33,61,"Basketball"
13.3,1,2,1,3,5,18,59,"Basketball"
13.4,2,1,0,2,5,40,11,"Futbol"
13.6,4,1,0,0,5,28,0,"Futbol"
16.3,3,1,0,2,5,32,35,"Basketball"
15.7,1,1,0,2,3,43,37,"Basketball"
17.0,3,2,0,3,5,21,41,"Basketball"
16.3,3,1,0,1,1,41,29,"Basketball"
15.7,1,2,1,3,5,17,45,"Basketball"
16.5,3,2,0,1,3,46,40,"Basketball"
18.9,5,1,1,2,5,41,6,"Futbol"
14.6,5,2,1,0,3,35,48,"Basketball"
17.3,2,2,1,2,1,28,32,"Basketball"
14.9,6,1,1,3,3,42,39,"Basketball"
15.8,4,1,1,1,1,49,4,"Futbol"
14.2,5,1,1,0,5,24,55,"Basketball"
14.5,4,2,1,0,5,21,45,"Basketball"
13.3,5,1,1,3,3,42,29,"Basketball"
13.7,4,2,1,0,3,27,7,"Futbol"
17.3,0,0,0,3,5,15,43,"Basketball"
15.0,5,1,0,2,5,31,4,"Futbol"
17.1,2,5,1,2,1,42,6,"Futbol"
13.5,3,1,1,3,5,21,29,"Basketball"
16.8,5,3,1,0,5,38,75,"Basketball"
16.3,3,6,1,3,5,22,68,"Basketball"
15.6,3,2,1,2,5,42,29,"Basketball"
18.8,1,2,1,3,5,16,40,"Basketball"
16.2,3,6,1,1,3,36,29,"Basketball"
13.6,3,1,0,3,5,21,8,"Futbol"
13.5,1,2,1,3,5,18,50,"Basketball"
17.4,4,0,1,1,3,31,95,"Basketball"
16.7,3,1,1,3,5,18,55,"Basketball"
16.3,4,1,1,2,5,23,13,"Basketball"
18.7,3,1,1,3,3,23,39,"Basketball"
16.3,3,6,1,3,5,19,47,"Basketball"
18.4,2,1,1,3,5,46,8,"Futbol"
13.6,4,1,1,1,3,38,11,"Futbol"
17.5,2,3,1,2,3,42,11,"Futbol"
16.1,1,1,0,3,5,18,43,"Basketball"
18.8,3,1,1,0,1,36,8,"Futbol"
17.2,7,1,1,0,1,27,48,"Basketball"
18.8,1,2,1,3,5,19,30,"Basketball"
14.1,3,1,1,3,5,20,6,"Futbol"
14.2,4,2,1,1,4,44,4,"Futbol"
13.4,3,2,1,0,3,31,5,"Futbol"
14.0,5,0,1,1,5,38,4,"Futbol"
14.5,4,5,1,2,3,28,32,"Basketball"
14.3,3,2,1,1,3,42,40,"Basketball"
18.6,4,1,1,3,5,29,19,"Basketball"
14.7,3,2,0,2,5,20,54,"Basketball"
17.9,5,1,0,2,5,29,32,"Basketball"
15.5,1,0,0,3,0,15,18,"Basketball"
16.1,3,1,1,1,3,58,7,"Futbol"
18.1,3,1,0,3,5,18,19,"Basketball"
13.2,3,2,1,0,3,32,15,"Futbol"
15.7,5,1,1,3,5,25,11,"Futbol"
16.7,5,4,1,0,3,30,30,"Basketball"
